threshold,dice
0.1,0.728666
0.15,0.732010
0.2,0.734465
0.25,0.736327
0.3,0.737584
0.35,0.738976
0.4,0.740170
0.45,0.741244
0.5,0.742069
0.55,0.742778
0.6,0.743476
0.65,0.744132
0.7,0.744713
0.75,0.745210
0.8,0.745654
0.85,0.746336
0.9,0.746876
